,id,original_title,title,original_language,overview,release_date,popularity,vote_count,vote_average,runtime,adult,genre_names
232,524251,I See You,I See You,en,"When a 12-year-old boy goes missing, lead investigator Greg Harper struggles to balance the pressure of the investigation and troubles with his wife, Jackie. Facing a recent affair, great strain is put on the family that slowly gnaws away at Jackie's grip on reality. But after a malicious presence manifests itself in their home and puts their son, Connor, in mortal danger, the cold, hard truth about evil in the Harper household is finally uncovered.",2019-09-11,59.919,1041,7,98,FALSE,"Crime, Horror, Mystery, Thriller"
233,24150,Halloween II,Halloween II,en,"Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois. Meanwhile, Michael prepares for another reunion with his sister.",2009-08-28,59.789,1120,5.4,105,FALSE,Horror
234,340382,進撃の巨人 ATTACK ON TITAN エンド オブ ザ ワールド,Attack on Titan II: End of the World,ja,"Eren leaves to restore a break in the wall destroyed by a Titan. He comes under attack by the Titans and is cornered. Shikishima comes to his aid. The titans never stops attacking.  Eren is now injured and tries to protect Armin, but is swallowed by a titan. A Titan with black hair appears and begins to expel the other titans.",2015-09-01,59.771,232,5.9,87,FALSE,"Action, Fantasy, Horror, Science Fiction"
235,16871,Drag Me to Hell,Drag Me to Hell,en,"After denying a woman the extension she needs to keep her home, loan officer Christine Brown sees her once-promising life take a startling turn for the worse. Christine is convinced she's been cursed by a Gypsy, but her boyfriend is skeptical. Her only hope seems to lie in a psychic who claims he can help her lift the curse and keep her soul from being dragged straight to hell.",2009-03-15,59.708,3052,6.4,99,FALSE,"Horror, Thriller"
236,839440,Dinosaur Hotel,Dinosaur Hotel,en,"Sienna is desperate to win a large cash prize in a secret underground game show. However, Dinosaur's begin to hunt her down for the entertainment of the rich and wealthy. Can she be the last to survive the horrific night to win the prize?",2021-06-11,59.573,63,5.2,77,FALSE,"Horror, Mystery, Science Fiction"
237,11237,Anacondas: The Hunt for the Blood Orchid,Anacondas: The Hunt for the Blood Orchid,en,"The blood orchid - a rare flower that could hold the secret of eternal life and be worth a fortune to the company that finds it. Led by a pharmaceutical research team, a scientific expedition sets out to explore deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling through rainstorms to make their way upriver, the group encounters poisonous insects and a ferocious crocodile, only to discover they're being stalked by an even greater danger: a gathering of giant anacondas! Heat-sensing, fifty-foot-long flesh-eaters that'll go after anyone that crosses their path!",2004-08-26,59.552,765,5.4,96,FALSE,"Action, Adventure, Horror"
238,14001,Dead Silence,Dead Silence,en,"Jamie returns to his hometown in search of answers to his wife's murder, which occurred after receiving a weird package containing a ventriloquist dummy named Billy, which may be linked to the legend of ventriloquist Mary Shaw. Destined to find out the truth, Jamie goes to the town of Raven's Fair, where Shaw used to perform and is buried. But Jamie is in for more than he expected.",2007-03-16,59.495,1893,6.4,89,FALSE,Horror
239,214,Saw III,Saw III,en,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scramble to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.",2006-10-27,59.343,3653,6.4,114,FALSE,"Crime, Horror, Thriller"
240,4488,Friday the 13th,Friday the 13th,en,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,1980-05-09,58.957,2289,6.4,95,FALSE,Horror
241,530385,Midsommar,Midsommar,en,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",2019-07-03,58.67,5237,7.1,147,FALSE,"Drama, Horror, Mystery"
242,338967,Zombieland: Double Tap,Zombieland: Double Tap,en,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",2019-10-09,58.248,4691,7,99,FALSE,"Comedy, Horror"
243,11361,Halloween 5: The Revenge of Michael Myers,Halloween 5: The Revenge of Michael Myers,en,"Presumed dead after a shoot-out with the Haddonfield police, Michael Myers is secretly nursed back to health -- and returns a year later to kill again and once more targets his young niece, Jamie. Jamie is now recovering in the local children's hospital after attacking her stepmother and losing her voice. Her mental link with her evil uncle may be the key to uprooting her family tree.",1989-10-12,58.22,927,5.4,97,FALSE,"Horror, Thriller"
244,36647,Blade,Blade,en,"The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.",1998-08-21,57.899,4965,6.7,121,FALSE,"Action, Horror"
245,43947,I Spit on Your Grave,I Spit on Your Grave,en,"Jennifer is a writer working on a new novel and, needing to get out of the city to finish it, hires a riverside apartment in upstate New York to finish her book—attracting the attention of a number of rowdy male locals.",2010-06-17,57.811,1836,6.5,108,FALSE,"Crime, Horror, Thriller"
